x
1,MTOR
2,NFE2L2
3,EDN1
4,MET
5,NOTCH1
6,RICTOR
7,FGG
8,WEE1
9,ZNF800
10,BTG2
11,HNRNPF
12,RBBP7
13,SPATA2
14,IREB2
15,NDUFC2
16,ZNF367
17,TRIB1
18,PUM1
19,TMBIM6
20,DENND6A
